Utility.Number,Utility.Name,Utility.State,Utility.Type,Demand.Summer Peak,Demand.Winter Peak,Sources.Generation,Sources.Purchased,Sources.Other,Sources.Total,Uses.Retail,Uses.Resale,Uses.No Charge,Uses.Consumed,Uses.Losses,Uses.Total,Revenues.Retail,Revenue.Delivery,Revenue.Resale,Revenue.Adjustments,Revenue.Transmission,Revenue.Other,Revenue.Total,Retail.Residential.Revenue,Retail.Residential.Sales,Retail.Residential.Customers,Retail.Commercial.Revenue,Retail.Commercial.Sales,Retail.Commercial.Customers,Retail.Industrial.Revenue,Retail.Industrial.Sales,Retail.Industrial.Customers,Retail.Transportation.Revenue,Retail.Transportation.Sales,Retail.Transportation.Customers,Retail.Total.Revenue,Retail.Total.Sales,Retail.Total.Customers,Year
55,City of Aberdeen - (MS),MS,Municipal,33.4,32.7,0,205109,0,205109,198901,0,0,75,6133,205109,14727.0,0.0,0.0,0.0,0.0,276.0,205109,3895.0,35346.0,2624.0,4627.0,42794.0,659.0,6205.0,120761.0,2.0,0.0,0.0,0.0,14727.0,198901.0,3285.0,2015
59,City of Abbeville - (LA),LA,Municipal,33.0,24.0,0,138888,0,138888,138888,0,0,0,0,138888,13955.5,0.0,0.0,0.0,0.0,0.0,138888,5966.6,57203.0,4576.0,4357.1,39545.0,1031.0,3631.8,42140.0,28.0,0.0,0.0,0.0,13955.5,138888.0,5635.0,2015
84,A & N Electric Coop,VA,Cooperative,150.0,191.5,1,738113,0,738114,715283,0,0,1796,21035,738114,79488.0,0.0,0.0,0.0,0.0,813.1,738114,273.1,2207.0,268.0,69.8,538.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,342.9,2745.0,312.0,2015
84,A & N Electric Coop,VA,Cooperative,150.0,191.5,1,738113,0,738114,715283,0,0,1796,21035,738114,79488.0,0.0,0.0,0.0,0.0,813.1,738114,44074.2,366441.0,30892.0,18209.2,161517.0,3931.0,16861.7,184580.0,8.0,0.0,0.0,0.0,79145.1,712538.0,34831.0,2015
97,Adams Electric Coop,IL,Cooperative,33.0,38.0,4771,169267,0,174038,161812,0,0,354,11872,174038,21491.0,0.0,0.0,0.0,0.0,240.0,174038,16107.0,109511.0,8461.0,5384.0,52301.0,216.0,0.0,0.0,0.0,0.0,0.0,0.0,21491.0,161812.0,8677.0,2015
108,Adams-Columbia Electric Coop,WI,Cooperative,123.0,85.1,0,524590,0,524590,495484,81,0,1003,28022,524590,63914.0,0.0,5.0,0.0,0.0,199.0,524590,41503.0,264033.0,33718.0,8677.0,70951.0,1892.0,13734.0,160500.0,885.0,0.0,0.0,0.0,63914.0,495484.0,36495.0,2015
113,Agway Energy Services LLC,NY,Retail Power Marketer,84.4,84.3,0,439068,0,439068,437964,0,0,0,1104,439068,39361.8,0.0,0.0,0.0,0.0,0.0,439068,26906.7,285911.0,36262.0,12377.3,150811.0,7409.0,0.0,0.0,0.0,0.0,0.0,0.0,39284.0,436722.0,43671.0,2015
113,Agway Energy Services LLC,NY,Retail Power Marketer,84.4,84.3,0,439068,0,439068,437964,0,0,0,1104,439068,39361.8,0.0,0.0,0.0,0.0,0.0,439068,68.8,1093.0,497.0,9.0,149.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,77.8,1242.0,552.0,2015
118,Adams Rural Electric Coop Inc,OH,Cooperative,23.2,37.4,0,121652,0,121652,113942,0,118,0,7592,121652,15373.0,0.0,0.0,0.0,0.0,392.0,121652,13284.0,95480.0,7395.0,2089.0,18462.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,15373.0,113942.0,7454.0,2015
122,Village of Arcade - (NY),NY,Municipal,23.0,40.6,0,169518,0,169518,161471,0,0,749,7298,169518,7944.0,0.0,0.0,0.0,0.0,461.0,169518,4117.0,75956.0,3601.0,2190.0,47607.0,570.0,1637.0,37908.0,15.0,0.0,0.0,0.0,7944.0,161471.0,4186.0,2015
